source,project,author,url,statusCode,category,method,finalUrl,error
indexoteca,Felicidad Pública,Felicidad Pública,https://felicidadpublica.cl,,dns_error,error,https://felicidadpublica.cl,fetch failed
indexoteca,Otros Pérez,Otros Pérez,http://otrosperez.com/,,dns_error,error,http://otrosperez.com/,fetch failed
indexoteca,Gaggeroworks,Gaggeroworks,http://gaggeroworks.co.uk/,,dns_error,error,http://gaggeroworks.co.uk/,fetch failed
indexoteca,Estudio Postal,Estudio Postal,https://www.estudiopostal.cl/,,dns_error,error,https://www.estudiopostal.cl/,fetch failed
indexoteca,10:10,10:10,https://www.diezdiez.com/,,dns_error,error,https://www.diezdiez.com/,fetch failed
indexoteca,Design Systems International,Design Systems International,https://designsystems.international/,,dns_error,error,https://designsystems.international/,fetch failed
indexoteca,IV Studio,IV Studio,https://www.ivestudio.com,,dns_error,error,https://www.ivestudio.com,fetch failed
indexoteca,Almabrands,Almabrands,https://www.almabrands.com,,dns_error,error,https://www.almabrands.com,fetch failed
indexoteca,ANTS,ANTS,https://ants.cl,,dns_error,error,https://ants.cl,fetch failed
indexoteca,BAFE Studio,BAFE Studio,https://bafestudio.com,,dns_error,error,https://bafestudio.com,fetch failed
indexoteca,Bang Creative,Bang Creative,https://bang.cl,,dns_error,error,https://bang.cl,fetch failed
indexoteca,Baobab,Baobab,https://baobabdiseno.com,,dns_error,error,https://baobabdiseno.com,fetch failed
indexoteca,BBK,BBK,https://bbkgroup.com,,dns_error,error,https://bbkgroup.com,fetch failed
indexoteca,BITPLAY,BITPLAY,https://bitplay.cl,,dns_error,error,https://bitplay.cl,fetch failed
indexoteca,BlancaEstudio,BlancaEstudio,https://blancaestudio.cl,,dns_error,error,https://blancaestudio.cl,fetch failed
indexoteca,Bonnet Estudio,Bonnet Estudio,https://bonnet.cl,,dns_error,error,https://bonnet.cl,fetch failed
indexoteca,Buendía,Buendía,https://buendia.cl,,dns_error,error,https://buendia.cl,fetch failed
indexoteca,Caja Muebles,Caja Muebles,https://cajamuebles.cl,,dns_error,error,https://cajamuebles.cl,fetch failed
indexoteca,CINCEL,CINCEL,https://cincel.cl,,dns_error,error,https://cincel.cl,fetch failed
indexoteca,CQ,CQ,https://cq.cl,,dns_error,error,https://cq.cl,fetch failed
indexoteca,DA,DA,https://da.cl,,dns_error,error,https://da.cl,fetch failed
indexoteca,Diegonciox,Diegonciox,https://diegonciox.com,,dns_error,error,https://diegonciox.com,fetch failed
indexoteca,Doblegiro,Doblegiro,https://doblegiro.cl,,dns_error,error,https://doblegiro.cl,fetch failed
indexoteca,Estudio MR,Estudio MR,https://estudiomr.cl,,dns_error,error,https://estudiomr.cl,fetch failed
indexoteca,Freaktools,Freaktools,https://freaktools.cl,,dns_error,error,https://freaktools.cl,fetch failed
indexoteca,FutureBrand,FutureBrand,https://futurebrand.com,,dns_error,error,https://futurebrand.com,fetch failed
indexoteca,Gorila Amarillo,Gorila Amarillo,https://gorilaamarillo.cl,,dns_error,error,https://gorilaamarillo.cl,fetch failed
indexoteca,Grupo Oxígeno,Grupo Oxígeno,https://grupoxigeno.cl,,dns_error,error,https://grupoxigeno.cl,fetch failed
indexoteca,Humano,Humano,https://somoshumano.cl,,dns_error,error,https://somoshumano.cl,fetch failed
indexoteca,Infografías.cl,Infografías.cl,https://infografias.cl,,dns_error,error,https://infografias.cl,fetch failed
indexoteca,Kathryn Gillmore,Kathryn Gillmore,https://kathryngillmore.com,,dns_error,error,https://kathryngillmore.com,fetch failed
indexoteca,Kondimento,Kondimento,https://kondimento.cl,,dns_error,error,https://kondimento.cl,fetch failed
indexoteca,Latinotype,Latinotype,https://latinotype.com,,dns_error,error,https://latinotype.com,fetch failed
indexoteca,Lebran,Lebran,https://lebran.cl,,dns_error,error,https://lebran.cl,fetch failed
indexoteca,Leyton Arquitectos,Leyton Arquitectos,https://leytonarquitectos.cl,,dns_error,error,https://leytonarquitectos.cl,fetch failed
indexoteca,Litio Diseño,Litio Diseño,https://litiodiseno.cl,,dns_error,error,https://litiodiseno.cl,fetch failed
indexoteca,Mandarina,Mandarina,https://mandarina.cl,,dns_error,error,https://mandarina.cl,fetch failed
indexoteca,MMÍA Studio,MMÍA Studio,https://mmia.studio,,dns_error,error,https://mmia.studio,fetch failed
indexoteca,Medular,Medular,https://medular.cl,,dns_error,error,https://medular.cl,fetch failed
indexoteca,Nueve Design Studio,Nueve Design Studio,https://nuevedesignstudio.cl,,dns_error,error,https://nuevedesignstudio.cl,fetch failed
indexoteca,OARQUITECTOS,OARQUITECTOS,https://oarquitectos.cl,,dns_error,error,https://oarquitectos.cl,fetch failed
indexoteca,OPENART,OPENART,https://openart.cl,,dns_error,error,https://openart.cl,fetch failed
indexoteca,Orlando Gatica,Orlando Gatica,https://orlandogatica.com,,dns_error,error,https://orlandogatica.com,fetch failed
indexoteca,DEO,DEO,https://deo.cl,,dns_error,error,https://deo.cl,fetch failed
indexoteca,Visualógica,Visualógica,https://visualogica.com,,dns_error,error,https://visualogica.com,fetch failed
indexoteca,Siente Cinco,Siente Cinco,https://branding.sientecinco.cl,,dns_error,error,https://branding.sientecinco.cl,fetch failed
indexoteca,Draft,Draft,https://draft.cl,,dns_error,error,https://draft.cl,fetch failed
indexoteca,SUMO,SUMO,https://www.sumo.cl,,dns_error,error,https://www.sumo.cl,fetch failed
indexoteca,JVD,JVD,https://www.instagram.com/jvd_estudio/?hl=es,,dns_error,error,https://www.instagram.com/jvd_estudio/?hl=es,fetch failed
referencioteca,Encontrarse en la forma,Ignacia Santillán,https://www.behance.net/gallery/160223073/encontrarse-en-la-forma,,dns_error,error,https://www.behance.net/gallery/160223073/encontrarse-en-la-forma,fetch failed
referencioteca,L'uccello,Weichi He,https://weichi.works/L-ucello,,dns_error,error,https://weichi.works/L-ucello,fetch failed
referencioteca,Max Fett Specimen,Weichi He,https://weichi.works/Max-Fett-Specimen,,dns_error,error,https://weichi.works/Max-Fett-Specimen,fetch failed
referencioteca,Me gusta mucho aquí,Ignacia Santillán,https://www.instagram.com/p/DPEx3F9j9wF/,,dns_error,error,https://www.instagram.com/p/DPEx3F9j9wF/,fetch failed
