source,project,author,url,statusCode,category,method,finalUrl,error
referencioteca,Sala simulación AVD,"María Fernanda Gonzalez, Clemente López, Valentina Navarrete",https://sites.google.com/view/valenavarrete-portafolio/sala-simulaci%C3%B3n-avd?,200,ok,HEAD,https://sites.google.com/view/valenavarrete-portafolio/sala-simulaci%C3%B3n-avd?,
referencioteca,Salud oportuna en el sistema público de Chile,Felipe Vilches Ivelić,https://felipevilchesinc.com/trabajo/salud-oportuna,200,ok,HEAD,https://felipevilchesinc.com/trabajo/salud-oportuna,
referencioteca,El delantal vestido,Felipe Vilches Ivelić,https://felipevilchesinc.com/trabajo/delantal-vestido,200,ok,HEAD,https://felipevilchesinc.com/trabajo/delantal-vestido,
referencioteca,"De Este a Oeste, de Norte a Sur",Felipe Vilches Ivelić,https://felipevilchesinc.com/trabajo/titulos-deaodnas-documental,200,ok,HEAD,https://felipevilchesinc.com/trabajo/titulos-deaodnas-documental,
referencioteca,Péndulo,Daniela Reyes Muñoz,https://www.behance.net/gallery/211077763/PENDULO,200,ok,HEAD,https://www.behance.net/gallery/211077763/PENDULO,
referencioteca,Cositas Fanzine,Daniela Reyes Muñoz,https://danielawilliam.com/Fanzine-Cositas,200,ok,HEAD,https://danielawilliam.com/Fanzine-Cositas,
referencioteca,Mujeres Inspiradoras,Daniela Reyes Muñoz,https://danielawilliam.com/Illustration-work/STEM,200,ok,HEAD,https://danielawilliam.com/Illustration-work/STEM,
referencioteca,Los Heroes Magazine Covers,Daniela Reyes Muñoz,https://danielawilliam.com/Illustration-work/Los-Heroes-2023,200,ok,HEAD,https://danielawilliam.com/Illustration-work/Los-Heroes-2023,
referencioteca,Disonia,Joaquín Gajardo,https://www.gaja.studio/proyectos/topo-colectivo,200,ok,HEAD,https://www.gaja.studio/proyectos/topo-colectivo,
referencioteca,TOPO COLECTIVO,Joaquín Gajardo,https://www.gaja.studio/proyectos/jose-maiza,200,ok,HEAD,https://www.gaja.studio/proyectos/jose-maiza,
referencioteca,La Raíz del Aire,"Florencia Caro, Colomba Acosta",https://muchatrama.wixsite.com/muchatrama/portfolio-collections/my-portfolio/project-title-5,200,ok,HEAD,https://muchatrama.wixsite.com/muchatrama/portfolio-collections/my-portfolio/project-title-5,
referencioteca,Raíz Rituales,"Colomba Acosta, Florencia Caro",https://muchatrama.wixsite.com/muchatrama/portfolio-collections/my-portfolio/project-title-6-1,200,ok,HEAD,https://muchatrama.wixsite.com/muchatrama/portfolio-collections/my-portfolio/project-title-6-1,
referencioteca,Decide Chile,Constanza Morales,https://www.constanzamorales.com/projects/decidechile,200,ok,HEAD,https://www.constanzamorales.com/projects/decidechile,
referencioteca,Antagonista,Bernardita Hoffmann,https://bhbouchon.myportfolio.com/antagonista,404,broken,HEAD,https://bhbouchon.myportfolio.com/antagonista,
referencioteca,Batallas en el barrio,Magdalena Leigh,https://www.linkedin.com/posts/magdalena-leigh-maturana-b586aa27b_despu%C3%A9s-de-varios-meses-de-investigaci%C3%B3n-activity-7415374998154207232-lamk,200,ok,HEAD,https://es.linkedin.com/posts/magdalena-leigh-maturana-b586aa27b_despu%C3%A9s-de-varios-meses-de-investigaci%C3%B3n-activity-7415374998154207232-lamk,
referencioteca,POLKA DOT,Fernanda Gutiérrez,https://readymag.website/u1773068245/6079251/2/,200,ok,HEAD,https://readymag.website/u1773068245/6079251/2/,
referencioteca,Fresca Rebeca,Fernanda Gutiérrez,https://readymag.website/u1773068245/6079251/2/,200,ok,HEAD,https://readymag.website/u1773068245/6079251/2/,
referencioteca,Presente,Daniela Gajardo,https://www.behance.net/gallery/224614769/2025-PORTAFOLIO-DISENO-DG,200,ok,HEAD,https://www.behance.net/gallery/224614769/2025-PORTAFOLIO-DISENO-DG,
referencioteca,Las piedras,Daniel Riveros (Gepe),https://www.discogs.com/release/1565503-Gepe-Las-Piedras?srsltid=AfmBOopK1cqpOPpW1z8HEra8cLp8fOq3n8wttN5Id0Fna5EIwMoxCpnG,200,ok,GET,https://www.discogs.com/release/1565503-Gepe-Las-Piedras?srsltid=AfmBOopK1cqpOPpW1z8HEra8cLp8fOq3n8wttN5Id0Fna5EIwMoxCpnG,
referencioteca,Logo sello Jacobino Discos,Daniel Riveros (Gepe),https://jacobinodiscos.cl/about-us/,200,ok,HEAD,https://jacobinodiscos.cl/about-us/,
referencioteca,Hungría,Daniel Riveros (Gepe),https://es.wikipedia.org/wiki/Hungría_(álbum),200,ok,HEAD,https://es.wikipedia.org/wiki/Hungr%C3%ADa_(%C3%A1lbum),
referencioteca,Ciencia Exacta,Daniel Riveros (Gepe),https://www.youtube.com/watch?app=desktop&v=KWIJqE8Rqrc,200,ok,HEAD,https://www.youtube.com/watch?app=desktop&v=KWIJqE8Rqrc,
referencioteca,Afiche Voy y Vuelvo (Chancho en Piedra),Felipe Ilabaca,https://www.instagram.com/p/CuvPhZfOdyW/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,200,ok,HEAD,https://www.instagram.com/p/CuvPhZfOdyW/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,
referencioteca,Ciencia Ficción (Obra de teatro),Felipe Ilabaca,https://www.uc.cl/site/assets/files/15652/revista-universitaria-167.pdf,200,ok,HEAD,https://www.uc.cl/site/assets/files/15652/revista-universitaria-167.pdf,
referencioteca,Restaurant KrossBar,Catalina Harasic,https://www.linkedin.com/in/catalina-harasic-gil-9239a844/details/projects/?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAlm0SsBad8u2IpnSwXl7YUI3xvZq3sFM20,404,broken,GET,https://www.linkedin.com/in/catalina-harasic-gil-9239a844/details/projects/?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAlm0SsBad8u2IpnSwXl7YUI3xvZq3sFM20,
referencioteca,Dynamics of coastal picoeukaryote communities in response to oil spill disturbances,Alejandro Durán,https://www.sciencedirect.com/science/article/abs/pii/S0141113625008050,200,ok,GET,https://www.sciencedirect.com/science/article/abs/pii/S0141113625008050,
referencioteca,Flora Nativa,María José Carmona,https://mjcarmona.com/libros-publicados,404,broken,HEAD,https://mjcarmona.com/libros-publicados,
referencioteca,Al agua,María José Carmona,https://mjcarmona.com/libros-publicados,404,broken,HEAD,https://mjcarmona.com/libros-publicados,
referencioteca,Panchita recorre Chiloé,Gabriela Sandoval,https://panchitarecorrechiloe.cl,200,ok,HEAD,https://panchitarecorrechiloe.cl/,
referencioteca,Mou Studio,Martina Palominos,https://www.ed.cl/archivo/recomendados/mou-studio-el-taller-textil-donde-el-color-y-el-oficio-se-encuentran/,200,ok,HEAD,https://www.ed.cl/archivo/recomendados/mou-studio-el-taller-textil-donde-el-color-y-el-oficio-se-encuentran/,
referencioteca,Mou Studio,Martina Palominos,https://www.instagram.com/moustudio/?hl=es,200,ok,HEAD,https://www.instagram.com/moustudio/?hl=es,
referencioteca,Misión Korex: Estrategia gamificada para potenciar la actividad física en escolares,Teresita de Jesús Reymond,https://www.uc.cl/noticias/estudiantes-uc-se-adjudican-financiamiento-publico-para-convertir-sus-tesis-en-innovaciones-con-impacto-social/,200,ok,HEAD,https://www.uc.cl/noticias/estudiantes-uc-se-adjudican-financiamiento-publico-para-convertir-sus-tesis-en-innovaciones-con-impacto-social/,
referencioteca,Misión Korex: Estrategia gamificada para potenciar la actividad física en escolares,Teresita de Jesús Reymond,https://diseno.uc.cl/2025/09/teresita-reymond-disenadora-uc-se-adjudico-concurso-viu-2025-con-su-proyecto-de-tesis/,200,ok,HEAD,https://diseno.uc.cl/2025/09/teresita-reymond-disenadora-uc-se-adjudico-concurso-viu-2025-con-su-proyecto-de-tesis/,
referencioteca,El Pescador de Chiloé,Gabriela Sandoval,https://panchitarecorrechiloe.cl/pescador-de-chiloe/,200,ok,HEAD,https://panchitarecorrechiloe.cl/pescador-de-chiloe/,
referencioteca,El Pescador de Chiloé,Gabriela Sandoval,https://panchitarecorrechiloe.cl,200,ok,HEAD,https://panchitarecorrechiloe.cl/,
referencioteca,Ari-test,Macarena Silva,https://alumni.uc.cl/actualidad/iniciativa-para-la-deteccion-del-vph-creada-por-disenadora-uc-macarena-silva-obtiene-premio-latinoamericano/,200,ok,HEAD,https://alumni.uc.cl/actualidad/iniciativa-para-la-deteccion-del-vph-creada-por-disenadora-uc-macarena-silva-obtiene-premio-latinoamericano/,
referencioteca,"Deseo, Carne y Voluntad",Javiera Donoso,https://soloartistaschilenos.cl/deseo-carne-y-voluntad-de-candelabro-un-abrazo-a-la-espiritualidad-y-una-feroz-demostracion-de-madurez-musical/,200,ok,HEAD,https://soloartistaschilenos.cl/deseo-carne-y-voluntad-de-candelabro-un-abrazo-a-la-espiritualidad-y-una-feroz-demostracion-de-madurez-musical/,
referencioteca,Ahora o nunca,Javiera Donoso,https://www.instagram.com/p/C2vNeBzvoNz/,200,ok,HEAD,https://www.instagram.com/p/C2vNeBzvoNz/,
referencioteca,The Art of Talking About Art,María Jesús Vidal Lynch,https://mjvidallynch.myportfolio.com/the-art-of-talking-about-art,404,broken,HEAD,https://mjvidallynch.myportfolio.com/the-art-of-talking-about-art,
referencioteca,Refugia,Constanza Weinreich Siraqyan,https://www.linkedin.com/posts/c-weinreich_dise%C3%B1o-de-identidad-visual-y-marca-de-refugia-activity-7425266784230084608-_xkG,200,ok,HEAD,https://es.linkedin.com/posts/c-weinreich_dise%C3%B1o-de-identidad-visual-y-marca-de-refugia-activity-7425266784230084608-_xkG,
referencioteca,MUDA,Ignacia Bianchi,https://ignaciabianchi.myportfolio.com/muda,404,broken,HEAD,https://ignaciabianchi.myportfolio.com/muda,
referencioteca,MUDA,Ignacia Bianchi,https://www.linkedin.com/posts/ignacia-bianchi-977853372_muy-feliz-de-contarles-que-el-pasado-22-de-activity-7415438031157186560-Xggu,200,ok,HEAD,https://es.linkedin.com/posts/ignacia-bianchi-977853372_muy-feliz-de-contarles-que-el-pasado-22-de-activity-7415438031157186560-Xggu,
referencioteca,Regularidad Irregular,Ignacia Bianchi,https://ignaciabianchi.myportfolio.com/pleats-pleats-pleats,404,broken,HEAD,https://ignaciabianchi.myportfolio.com/pleats-pleats-pleats,
referencioteca,Hati: El Equilibrio de los Espíritus,Clara Valenzuela Lowey,https://www.instagram.com/p/DV11EWUFhSp/,200,ok,HEAD,https://www.instagram.com/p/DV11EWUFhSp/,
