project_index,project_title,project_author,entity_type,clickable_entity
411,"Cover Art “Neruda en el tiempo”","María Jesús Darrigrande",persona,"Leonardo Pérez"
412,"Videodanza “PLEAMAR”","María Jesús Darrigrande",persona,"María Jesús Darrigrande"
413,"Yaikinova “Pequeña historia nocturna”","María Jesús Darrigrande",persona,"María Jesús Darrigrande"
413,"Yaikinova “Pequeña historia nocturna”","María Jesús Darrigrande",persona,"Sergio Panizza"
413,"Yaikinova “Pequeña historia nocturna”","María Jesús Darrigrande",persona,"Manuel Silva Acevedo"
414,"SAP Environments","Eduardo Romo",persona,"Eduardo Romo"
415,"The Master Knife","Eduardo Romo",persona,"Eduardo Romo"
415,"The Master Knife","Eduardo Romo",persona,"Clover Studio Cliente"
415,"The Master Knife","Eduardo Romo",persona,"Black Bubba"
415,"The Master Knife","Eduardo Romo",estudio,"Clover Studio"
416,"A.S.98","María Jesús Maturana",persona,"María Jesús Maturana"
417,"EXO","María Jesús Maturana",persona,"María Jesús Maturana"
418,"ODEGI Chile: Visualización de Datos","Francisca Martina Espinosa",persona,"Francisca Martina Espinosa"
419,"lacerda.es","Francisca Martina Espinosa",persona,"Francisca Martina Espinosa"
420,"Genias Podcast","Francisca Martina Espinosa",persona,"Francisca Martina Espinosa"
421,"Bitluxe","Francisca Beatriz Medina Concha",persona,"Francisca Beatriz Medina Concha"
422,"Agencia de borde","Francisca Beatriz Medina Concha",persona,"Francisca Beatriz Medina Concha"
423,"Fotos Madre 2025 La Fête","Victoria Tirapeguy",persona,"Victoria Tirapeguy"
423,"Fotos Madre 2025 La Fête","Victoria Tirapeguy",persona,"La Fête Chocolat Fotos"
424,"Navidad 2024 La Fête Chocolat","Victoria Tirapeguy",persona,"Victoria Tirapeguy"
425,"Fotografía para @sestracl","Lucia Vial Cosmelli",persona,"Lucia Vial Cosmelli"
425,"Fotografía para @sestracl","Lucia Vial Cosmelli",persona,"Punto Focal"
426,"campaña Diálogo Íntimo de @mardu.jewelry","Lucia Vial Cosmelli",persona,"Lucia Vial Cosmelli"
426,"campaña Diálogo Íntimo de @mardu.jewelry","Lucia Vial Cosmelli",persona,"Punto Focal"
427,"Fotos para @ochiandco_","Lucia Vial Cosmelli",persona,"Lucia Vial Cosmelli"
427,"Fotos para @ochiandco_","Lucia Vial Cosmelli",persona,"Punto Focal"
428,"Libro Meteorología Marina","Maria Ignacia Casale Wevar",persona,"Maria Ignacia Casale Wevar"
429,"Ángela - Set","María Granifo Correa",persona,"María Granifo Correa"
430,"Arrimo Lucrecia","María Granifo Correa",persona,"María Granifo Correa"
431,"Bar Eloisa","María Granifo Correa",persona,"María Granifo Correa"
432,"Blanca - Set","María Granifo Correa",persona,"María Granifo Correa"
433,"Éter Joyas","Paula Herrera Rivas",persona,"Paula Herrera Rivas"
434,"Krea","Paula Herrera Rivas",persona,"Paula Herrera Rivas"
435,"Congreso Internacional de Educación Superior Inclusiva","Antonia Lasen Goldzveig",persona,"Antonia Lasen Goldzveig"
435,"Congreso Internacional de Educación Superior Inclusiva","Antonia Lasen Goldzveig",persona,"Estudio EDE"
435,"Congreso Internacional de Educación Superior Inclusiva","Antonia Lasen Goldzveig",estudio,"Estudio EDE"
436,"Aloma","Antonia Lasen Goldzveig",persona,"Antonia Lasen Goldzveig"
436,"Aloma","Antonia Lasen Goldzveig",persona,"Estudio EDE"
436,"Aloma","Antonia Lasen Goldzveig",estudio,"Estudio EDE"
437,"Congreso Internacional de Educación Superior Inclusiva","Consuelo González",persona,"Consuelo González"
437,"Congreso Internacional de Educación Superior Inclusiva","Consuelo González",persona,"Estudio EDE"
437,"Congreso Internacional de Educación Superior Inclusiva","Consuelo González",estudio,"Estudio EDE"
438,"Congreso Internacional de Educación Superior Inclusiva","Trinidad Rodríguez",persona,"Trinidad Rodríguez"
438,"Congreso Internacional de Educación Superior Inclusiva","Trinidad Rodríguez",persona,"Estudio EDE"
438,"Congreso Internacional de Educación Superior Inclusiva","Trinidad Rodríguez",estudio,"Estudio EDE"
439,"Sara & Emma","Yolanda Sande Guglielmetti",persona,"Yolanda Sande Guglielmetti"
439,"Sara & Emma","Yolanda Sande Guglielmetti",persona,"Igriega Estudio Ilustración"
439,"Sara & Emma","Yolanda Sande Guglielmetti",persona,"Yolanda Sande"
439,"Sara & Emma","Yolanda Sande Guglielmetti",estudio,"Igriega Estudio"
440,"Studio X Design Lab","Yolanda Sande Guglielmetti",persona,"Yolanda Sande Guglielmetti"
441,"Filmoteca de Catalunya","Asunción Schwarzenberg",persona,"Asunción Schwarzenberg"
442,"Kuskalla","Anton Strabucchi Borregaard",persona,"Anton Strabucchi Borregaard"
443,"The Dry Years","Anton Strabucchi Borregaard",persona,"Anton Strabucchi Borregaard"
444,"Macetas Nodrizas","Antonia Valencia Talhouk",persona,"Antonia Valencia Talhouk"
444,"Macetas Nodrizas","Antonia Valencia Talhouk",persona,"Nicolás García Desarrollado"
444,"Macetas Nodrizas","Antonia Valencia Talhouk",persona,"Habita Nodriza"
445,"Impresión 3D arcilla local en Puerto Williams","Tomás Espinosa",persona,"Tomás Espinosa"
445,"Impresión 3D arcilla local en Puerto Williams","Tomás Espinosa",persona,"Taller La Bandurria FONDART"
445,"Impresión 3D arcilla local en Puerto Williams","Tomás Espinosa",persona,"Habita Nodriza"
446,"Baker","Matías Hagen Esper",persona,"Matías Hagen Esper"
447,"BANDANA AMÉRICA SOLIDARIA","Matías Hagen Esper",persona,"Matías Hagen Esper"
447,"BANDANA AMÉRICA SOLIDARIA","Matías Hagen Esper",persona,"Paula Herrera"
448,"Tricota Bupa","Matías Hagen Esper",persona,"Matías Hagen Esper"
448,"Tricota Bupa","Matías Hagen Esper",persona,"Bupa Santiago"
449,"Señalética Outdoor","Felipe Lorenzini",persona,"Felipe Lorenzini"
450,"Anillo Zafiro","Gianfranco Zoffoli",persona,"Gianfranco Zoffoli"
451,"Quintillo Diamante","Gianfranco Zoffoli",persona,"Gianfranco Zoffoli"
452,"Attravels","Javiera Videla",persona,"Javiera Videla"
453,"Herbario de Criptógamas Subantárticas","Javiera Videla",persona,"Javiera Videla"
454,"MOON DOG","Abril Araneda",persona,"Abril Araneda"
455,"FROM PATAGONIA TO THE WORLD","Abril Araneda",persona,"Abril Araneda"
455,"FROM PATAGONIA TO THE WORLD","Abril Araneda",persona,"Motion Studio"
455,"FROM PATAGONIA TO THE WORLD","Abril Araneda",estudio,"Motion Studio"
456,"La hormiguitua y el ratón Pérez","Abril Araneda",persona,"Abril Araneda"
456,"La hormiguitua y el ratón Pérez","Abril Araneda",persona,"Abril Araneda Voiced"
456,"La hormiguitua y el ratón Pérez","Abril Araneda",persona,"Daniela Gala Music"
456,"La hormiguitua y el ratón Pérez","Abril Araneda",persona,"Luis Orlandini"
457,"SERENO","Francisco Blümel Araya",persona,"Francisco Blümel Araya"
458,"SLIDE DUNGEON","Francisco Blümel Araya",persona,"Francisco Blümel Araya"
459,"TONY SOAP’S PRO DUCKER","Francisco Blümel Araya",persona,"Francisco Blümel Araya"
460,"Vecinos Chilenos | Educación para la conservación","Debi Codriansky",persona,"Debi Codriansky"
461,"Centro de la sexoafectividad","Florencia Cood",persona,"Florencia Cood"
462,"LOA","Bárbara Gelfenstein",persona,"Bárbara Gelfenstein"
462,"LOA","Bárbara Gelfenstein",persona,"Cervecería Loa"
463,"Por los ojos que no ven","Bárbara Gelfenstein",persona,"Bárbara Gelfenstein"
